,City,Temperature,Wind,Cloud,Humidity,Latitude,Longitude,Country,Date
273,petropavlovsk-kamchatskiy,46.4,4.47,0,42,53.05,158.65,RU,1587173995
274,mariental,64.33,2.28,0,17,-24.63,17.97,NA,1587174214
275,altdorf,51.01,4.0,48,69,49.39,11.36,DE,1587174214
276,plettenberg bay,59.86,4.18,85,80,-34.05,23.37,ZA,1587174215
277,dwarka,80.53,11.83,0,75,22.24,68.97,IN,1587174215
278,shingu,62.6,6.93,75,88,33.73,135.98,JP,1587174002
279,lavrentiya,23.23,13.22,100,97,65.58,-171.0,RU,1587174108
280,mareeba,90.0,1.01,98,73,-17.0,145.43,AU,1587174215
281,laguna,62.6,16.11,1,59,38.42,-121.42,US,1587174215
282,anadyr,15.8,11.18,90,78,64.75,177.48,RU,1587174053
283,hibbing,39.2,5.82,1,35,47.43,-92.94,US,1587174216
284,poum,79.02,8.34,93,74,-20.23,164.02,NC,1587174216
285,ancud,55.4,4.7,100,100,-41.87,-73.82,CL,1587174217
286,kaeo,68.0,3.0,38,89,-35.1,173.78,NZ,1587174217
287,fare,84.36,6.04,100,65,-16.7,-151.02,PF,1587174217
288,dunedin,51.01,3.0,99,95,-45.87,170.5,NZ,1587174217
289,henties bay,57.0,3.0,1,93,-22.12,14.28,NA,1587174217
290,biryusinsk,37.47,7.18,100,69,55.96,97.82,RU,1587174217
291,semnan,58.6,1.14,78,33,35.57,53.4,IR,1587174218
292,taoudenni,86.99,3.58,37,23,22.68,-3.98,ML,1587173924
293,tiquisate,82.24,2.82,68,70,14.28,-91.37,GT,1587174218
294,san quintin,59.04,11.77,18,72,30.48,-115.95,MX,1587174218
295,necochea,61.0,5.99,2,86,-38.55,-58.74,AR,1587174218
296,male,85.39,9.19,68,72,4.17,73.51,MV,1587174175
297,pyapon,89.71,6.46,0,37,16.28,95.68,MM,1587174218
298,savalou,79.47,7.65,96,79,7.93,1.98,BJ,1587174218
299,tinskoy,36.7,5.26,95,73,56.15,96.92,RU,1587174219
300,havoysund,37.4,35.57,75,69,71.0,24.66,NO,1587174219
301,hambantota,77.0,2.24,20,100,6.12,81.12,LK,1587174219
302,livingston,41.0,10.29,90,85,55.9,-3.52,GB,1587174157
303,pokhara,74.68,2.37,2,30,28.23,83.98,NP,1587174220
304,tezu,85.42,2.98,24,36,27.92,96.17,IN,1587174220
305,zhezkazgan,55.83,12.33,0,33,47.8,67.71,KZ,1587174042
306,tessalit,81.27,6.76,0,17,20.2,1.01,ML,1587174220
307,nicoya,72.0,21.0,1,81,10.15,-85.45,CR,1587174220
308,katsuura,60.8,9.17,75,93,35.13,140.3,JP,1587174220
309,luena,61.72,3.83,84,65,-11.78,19.92,AO,1587174221
310,hami,66.67,6.11,22,19,42.8,93.45,CN,1587174221
311,lashio,86.67,1.63,9,25,22.93,97.75,MM,1587174222
312,coquimbo,57.2,4.7,0,93,-29.95,-71.34,CL,1587174160
313,asino,43.57,9.48,0,62,57.0,86.15,RU,1587174223
314,inhambane,75.0,7.85,74,83,-23.86,35.38,MZ,1587174223
315,wadi musa,50.9,4.9,0,55,30.32,35.48,JO,1587174223
316,cap malheureux,75.2,3.36,40,78,-19.98,57.61,MU,1587174093
317,tambura,72.52,5.82,100,68,5.6,27.47,SS,1587174224
318,muroto,68.0,19.46,20,42,33.28,134.15,JP,1587174224
319,cherskiy,10.63,9.82,49,91,68.75,161.3,RU,1587174224
320,moose factory,26.6,4.7,1,53,51.26,-80.61,CA,1587173972
321,delicias,59.0,2.24,40,87,41.65,-0.91,ES,1587174220
322,ogbomosho,76.8,9.51,93,79,8.13,4.25,NG,1587174225
323,bilibino,10.0,7.45,75,85,68.05,166.44,RU,1587174226
324,hamilton,48.99,17.22,90,93,39.18,-84.53,US,1587174107
325,vallenar,63.32,1.61,0,53,-28.57,-70.76,CL,1587174226
326,vila franca do campo,53.6,2.24,20,81,37.72,-25.43,PT,1587174226
327,puerto carreno,85.46,3.91,39,53,6.19,-67.49,CO,1587174226
328,gusau,76.01,6.96,8,11,12.16,6.66,NG,1587174227
329,gat,62.01,2.51,0,76,31.61,34.76,IL,1587174227
330,hokota,57.0,14.99,75,93,36.15,140.52,JP,1587174228
331,razole,88.0,8.08,31,66,16.48,81.83,IN,1587174004
332,yartsevo,31.03,9.98,5,92,55.07,32.7,RU,1587174228
333,dokka,30.0,2.48,36,58,60.84,10.06,NO,1587174228
334,tanout,75.6,7.18,0,13,14.97,8.89,NE,1587174228
335,cosenza,51.01,3.36,33,100,39.31,16.25,IT,1587174228
336,suileng,66.51,4.43,0,21,47.25,127.08,CN,1587174228
337,tiznit,55.06,0.49,0,66,29.58,-9.5,MA,1587174229
338,paulo afonso,72.75,4.61,5,87,-9.41,-38.21,BR,1587174229
339,leningradskiy,11.07,10.42,100,94,69.38,178.42,RU,1587174229
340,bayan,64.0,2.33,0,33,46.08,127.4,CN,1587174229
341,tyup,48.81,2.37,12,31,42.73,78.36,KG,1587174230
342,palaikastron,55.0,4.0,99,73,35.2,26.25,GR,1587174230
343,celestun,80.37,15.17,0,83,20.87,-90.4,MX,1587174230
344,karratha,92.41,4.29,74,35,-20.74,116.85,AU,1587174216
345,clyde river,6.8,14.99,90,77,70.47,-68.59,CA,1587173934
346,carauari,73.38,2.01,95,94,-4.88,-66.9,BR,1587174231
347,yulara,75.2,12.75,8,36,-25.24,130.99,AU,1587174231
348,hay river,33.8,4.7,75,74,60.82,-115.8,CA,1587174231
349,ipira,71.55,3.69,40,90,-12.16,-39.74,BR,1587174231
350,santa cruz,65.66,5.93,17,43,-17.8,-63.17,BO,1587174191
351,lorengau,84.31,3.89,59,69,-2.02,147.27,PG,1587174231
352,huarmey,73.33,7.29,75,75,-10.07,-78.15,PE,1587174231
353,auki,81.34,3.22,98,79,-8.77,160.7,SB,1587174232
354,sao joao da barra,72.48,11.12,96,83,-21.64,-41.05,BR,1587174232
355,abaza,41.49,6.85,63,56,52.66,90.09,RU,1587174232
356,lahaina,82.4,18.34,20,54,20.88,-156.68,US,1587174223
357,longyearbyen,30.2,8.05,75,92,78.22,15.64,SJ,1587174232
358,mahibadhoo,85.3,9.01,69,72,3.78,72.97,MV,1587174232
359,tiksi,9.32,6.04,100,93,71.69,128.87,RU,1587174233
360,koscierzyna,28.4,3.36,28,68,54.12,17.98,PL,1587174234
361,sao miguel do araguaia,72.28,1.99,17,83,-13.28,-50.16,BR,1587174192
362,san patricio,78.8,8.93,5,74,19.22,-104.7,MX,1587173970
363,pilar,75.54,0.6,75,88,-9.6,-35.96,BR,1587174234
364,kruisfontein,55.69,3.2,72,84,-34.0,24.73,ZA,1587174235
365,thunder bay,39.2,10.29,5,41,48.4,-89.32,CA,1587174044
366,caravelas,77.63,14.45,17,86,-17.71,-39.25,BR,1587174235
367,morros,73.67,1.59,100,77,-9.45,-46.3,BR,1587174236
368,khatanga,15.76,13.6,0,92,71.97,102.5,RU,1587174205
369,tyret pervaya,40.93,12.12,96,59,53.67,102.31,RU,1587174237
370,teknaf,86.54,5.39,0,58,20.86,92.31,BD,1587174237
371,bengkulu,84.81,4.85,77,68,-3.8,102.27,ID,1587174237
372,guerrero negro,61.3,16.4,0,77,27.98,-114.06,MX,1587174202
373,gracac,46.0,0.58,39,93,44.3,15.85,HR,1587174237
374,khandyga,12.58,4.74,69,84,62.67,135.6,RU,1587174237
375,koulikoro,86.99,4.56,88,18,14.0,-7.75,ML,1587174238
376,cayenne,75.2,6.6,90,100,4.93,-52.33,GF,1587174238
377,egvekinot,12.52,17.78,95,89,66.32,-179.17,RU,1587174238
378,miri,84.2,3.06,75,83,4.41,114.01,MY,1587174238
379,koppang,27.0,1.99,97,74,61.57,11.06,NO,1587174238
380,guangshui,57.4,13.53,98,74,31.62,114.0,CN,1587174239
381,katherine,91.4,6.93,97,52,-14.47,132.27,AU,1587174239
382,sinnamary,79.27,12.19,94,84,5.38,-52.95,GF,1587174239
383,pervomayskiy,33.75,9.86,10,84,53.25,40.29,RU,1587174239
384,anqing,58.82,13.73,100,75,30.51,117.05,CN,1587174239
385,urusha,30.34,9.78,100,64,54.05,122.9,RU,1587174239
386,coruripe,79.29,4.85,43,83,-10.13,-36.18,BR,1587174240
387,gunnedah,64.4,4.7,76,59,-30.98,150.25,AU,1587174240
388,sabha,71.33,11.5,0,30,27.04,14.43,LY,1587174240
389,haputale,77.0,2.24,20,100,6.77,80.96,LK,1587174240
390,marystown,31.06,12.46,43,90,47.17,-55.15,CA,1587173947
391,mayo,54.0,9.17,75,62,38.89,-76.51,US,1587174240
392,comodoro rivadavia,66.2,11.41,77,55,-45.87,-67.5,AR,1587174240
393,imbituba,68.0,6.93,16,82,-28.24,-48.67,BR,1587174241
394,ahipara,67.1,10.94,13,75,-35.17,173.17,NZ,1587174072
395,meulaboh,83.88,3.13,97,71,4.14,96.13,ID,1587174241
396,manokwari,83.95,4.94,33,73,-0.87,134.08,ID,1587174241
397,isla mujeres,82.4,8.05,5,78,21.23,-86.73,MX,1587174241
398,broome,34.0,4.7,90,92,42.25,-75.83,US,1587173961
399,sovetskiy,36.82,6.69,100,91,61.36,63.58,RU,1587174198
400,zhumadian,54.21,6.2,100,75,32.98,114.03,CN,1587174242
401,sampit,88.36,3.06,39,68,-2.53,112.95,ID,1587174242
402,montoro,59.0,4.7,100,93,38.02,-4.38,ES,1587174242
403,czluchow,37.0,3.24,1,52,53.67,17.36,PL,1587174242
404,izhma,34.61,4.45,100,95,65.01,53.91,RU,1587174243
405,maracas,65.41,3.74,92,79,-13.44,-40.43,BR,1587174243
406,omsukchan,7.34,8.99,100,83,62.53,155.8,RU,1587174241
407,camocim,74.86,1.68,100,91,-2.9,-40.84,BR,1587174243
408,kyra,53.55,17.6,100,33,49.58,111.98,RU,1587174243
409,zonguldak,47.57,3.96,26,64,41.25,31.83,TR,1587174243
410,sinegorskiy,41.77,5.35,21,67,48.01,40.84,RU,1587174244
411,kohtla-jarve,35.2,19.42,73,85,59.4,27.27,EE,1587174245
412,port-cartier,28.0,8.05,75,45,50.03,-66.87,CA,1587174245
413,vrani,55.4,2.24,0,54,45.04,21.49,RO,1587174246
414,srednekolymsk,5.32,13.04,100,92,67.45,153.68,RU,1587174246
415,pustomyty,37.4,4.47,15,55,49.72,23.91,UA,1587174247
416,maningrida,87.08,4.94,89,54,-12.07,134.27,AU,1587174247
417,bara,77.79,1.12,0,13,10.37,10.73,NG,1587174247
418,telma,35.6,13.42,90,100,52.7,103.71,RU,1587174247
419,houma,75.2,3.36,1,83,29.6,-90.72,US,1587173979
420,kampot,82.4,2.24,20,78,10.62,104.18,KH,1587174248
421,lang son,77.0,4.85,94,73,21.83,106.73,VN,1587174248
422,sechura,73.65,13.09,6,78,-5.56,-80.82,PE,1587174249
423,kirakira,83.66,1.14,99,73,-10.45,161.92,SB,1587174218
424,vanavara,27.73,8.23,86,87,60.34,102.28,RU,1587174249
425,inuvik,33.8,4.7,75,74,68.35,-133.72,CA,1587174249
426,sattahip,82.4,6.93,20,83,12.67,100.9,TH,1587174249
427,springbok,57.99,8.84,8,24,-29.66,17.89,ZA,1587174250
428,barcelona,62.01,4.7,20,93,41.39,2.16,ES,1587174168
429,omboue,77.7,4.18,100,88,-1.57,9.26,GA,1587174250
430,sao filipe,70.12,18.5,0,76,14.9,-24.5,CV,1587174250
431,havre-saint-pierre,24.8,8.05,1,68,50.23,-63.6,CA,1587174012
432,saint anthony,46.4,8.05,1,30,45.02,-93.22,US,1587174251
433,carnarvon,80.6,5.82,95,69,-24.87,113.63,AU,1587174202
434,kovdor,31.57,12.21,100,89,67.57,30.48,RU,1587174251
435,kurilsk,39.74,7.87,0,69,45.23,147.88,RU,1587174251
436,bulawayo,63.09,12.53,69,57,-20.15,28.58,ZW,1587173997
437,balagansk,43.18,15.21,60,52,54.01,103.05,RU,1587174251
438,cankuzo,60.21,1.34,100,65,-3.13,30.58,BI,1587174252
439,port antonio,84.2,12.75,20,70,18.18,-76.46,JM,1587174252
440,arivonimamo,60.8,6.93,75,87,-19.02,47.18,MG,1587174252
441,jieshi,78.01,3.8,97,73,22.81,115.83,CN,1587174010
442,esmeraldas,71.6,6.93,56,94,-19.76,-44.31,BR,1587174252
443,darnah,57.74,10.87,9,82,32.77,22.64,LY,1587174252
444,chippewa falls,41.0,4.7,1,38,44.94,-91.39,US,1587174004
445,garut,83.08,0.6,38,50,-7.2,107.89,ID,1587174253
446,muros,55.0,1.99,33,91,42.78,-9.06,ES,1587174253
447,tabou,80.65,10.13,98,88,4.42,-7.35,CI,1587174253
448,tilichiki,16.02,16.84,35,91,60.47,166.1,RU,1587174252
449,kamal,87.44,3.36,21,69,-7.17,112.72,ID,1587174253
450,langcangan,87.21,6.4,40,51,8.48,123.76,PH,1587174253
451,reriutaba,72.86,2.28,100,90,-4.14,-40.58,BR,1587174254
452,christchurch,66.99,9.17,2,59,-43.53,172.63,NZ,1587174100
453,beloha,69.04,2.3,0,71,-25.17,45.05,MG,1587174256
454,loandjili,77.4,3.02,98,89,-4.76,11.86,CG,1587174257
455,arlit,80.11,5.23,0,13,18.74,7.39,NE,1587174257
456,mogadishu,83.12,9.08,81,75,2.04,45.34,SO,1587174257
457,hervey bay,91.0,6.93,80,45,-25.3,152.85,AU,1587173965
458,boa vista,86.0,6.93,54,55,2.82,-60.67,BR,1587174257
459,new amsterdam,77.85,8.5,58,82,6.25,-57.52,GY,1587174258
460,tyler,55.4,8.05,90,82,32.35,-95.3,US,1587174258
461,ciudad guayana,77.76,8.66,61,70,8.35,-62.65,VE,1587174152
462,itacoatiara,73.78,1.66,82,96,-3.14,-58.44,BR,1587174258
463,oranjemund,55.27,0.98,19,93,-28.55,16.43,NA,1587174259
464,zeya,36.86,7.09,5,49,53.75,127.27,RU,1587174259
465,asau,50.0,9.17,99,53,46.43,26.4,RO,1587174259
466,dongsheng,52.63,15.14,100,24,39.82,109.98,CN,1587174260
467,saint-joseph,75.2,11.41,75,78,-21.37,55.62,RE,1587174260
468,fort-shevchenko,50.38,14.56,99,65,44.51,50.26,KZ,1587174261
469,kenora,42.8,10.29,75,45,49.82,-94.43,CA,1587174261
470,el alto,73.26,7.78,80,72,-4.27,-81.21,PE,1587174261
471,jos,69.87,4.7,10,52,9.92,8.9,NG,1587174261
472,zlatibor,50.0,2.24,6,46,43.72,19.7,RS,1587174261
473,constitucion,59.63,8.7,1,89,-35.33,-72.42,CL,1587174262
474,severodvinsk,32.0,6.87,90,98,64.56,39.83,RU,1587174262
475,vicksburg,73.4,5.12,40,100,32.35,-90.88,US,1587174179
476,luderitz,53.6,2.24,8,93,-26.65,15.16,NA,1587173984
477,fairview,46.0,4.7,90,70,40.81,-74.0,US,1587173973
478,labuhan,87.76,3.74,45,67,-6.88,112.21,ID,1587174263
479,belmonte,73.4,3.36,75,94,-15.86,-38.88,BR,1587174249
480,nome,35.6,13.87,90,100,64.5,-165.41,US,1587174263
481,buenos aires,63.0,4.7,0,88,-34.61,-58.38,AR,1587174105
482,juneau,53.6,9.17,75,62,58.3,-134.42,US,1587174263
483,tamiahua,78.01,10.09,100,92,21.27,-97.45,MX,1587174263
484,cumana,80.6,17.22,90,78,10.46,-64.18,VE,1587174231
485,nisia floresta,78.8,4.7,40,94,-6.09,-35.21,BR,1587174264
486,bucak,55.4,4.7,96,70,37.46,30.59,TR,1587174264
487,miajadas,55.0,1.99,97,88,39.15,-5.91,ES,1587174264
488,olafsvik,42.3,28.05,100,84,64.89,-23.71,IS,1587174264
489,gort,51.8,10.29,90,87,53.07,-8.82,IE,1587174265
490,carballo,52.0,8.23,45,90,43.21,-8.69,ES,1587174265
491,chute-aux-outardes,30.2,4.7,1,42,49.12,-68.4,CA,1587174265
492,mortka,43.0,10.49,76,72,59.33,66.02,RU,1587174265
493,romny,34.88,8.59,10,81,50.75,33.47,UA,1587174265
494,yelizovo,46.4,4.47,0,42,53.19,158.38,RU,1587174266
495,am timan,75.4,3.96,42,13,11.03,20.28,TD,1587174267
496,paclolo,90.0,10.07,30,55,12.38,121.17,PH,1587174267
497,cockburn town,78.96,17.63,5,80,21.46,-71.14,TC,1587174267
498,srandakan,86.14,1.63,4,64,-7.94,110.25,ID,1587173988
499,zhangye,56.52,10.25,100,23,38.93,100.45,CN,1587174197
500,padang,87.15,0.49,38,62,-0.95,100.35,ID,1587173996
501,tonantins,74.26,1.5,100,94,-2.87,-67.8,BR,1587174268
502,kieta,84.74,2.64,13,69,-6.22,155.63,PG,1587174268
503,scarborough,42.01,4.0,48,74,54.28,-0.4,GB,1587174268
504,nara,61.0,3.36,75,77,34.69,135.8,JP,1587174010
505,qaqortoq,30.2,14.99,85,68,60.72,-46.03,GL,1587174273
506,hegang,62.92,4.52,10,26,47.4,130.37,CN,1587174273
507,kaniama,67.41,1.81,100,73,-7.57,24.18,CD,1587174273
508,etne,35.01,1.99,0,78,59.66,5.93,NO,1587174273
509,vanimo,86.16,3.09,38,65,-2.67,141.3,PG,1587174274
510,wufeng,60.51,3.02,80,46,27.45,104.83,CN,1587174274
511,takoradi,80.89,9.6,100,85,4.88,-1.76,GH,1587174195
512,pascagoula,69.8,3.36,1,83,30.37,-88.56,US,1587174274
513,berlevag,35.06,25.61,100,93,70.86,29.09,NO,1587174274
514,ixtapa,75.2,8.05,5,78,20.7,-105.2,MX,1587174087
515,pujehun,78.85,4.97,100,87,7.36,-11.72,SL,1587174275
516,yumen,56.79,4.94,1,21,40.28,97.2,CN,1587174275
517,eyl,82.31,10.18,8,78,7.98,49.82,SO,1587174275
518,zanjan,47.75,3.69,0,42,36.67,48.48,IR,1587174275
519,manjacaze,71.17,4.32,45,85,-24.71,33.88,MZ,1587174275
520,tadine,78.69,9.44,36,60,-21.55,167.88,NC,1587174276
521,syktyvkar,35.6,3.91,75,94,61.68,50.81,RU,1587174276
522,asosa,69.28,4.5,46,12,10.07,34.53,ET,1587174276
523,umarkot,85.84,14.34,0,37,25.36,69.74,PK,1587174276
524,porto novo,82.06,10.63,47,82,6.5,2.6,BJ,1587174186
525,tabuk,87.49,7.74,35,55,17.42,121.44,PH,1587174277
526,outjo,62.6,1.12,1,67,-20.12,16.15,NA,1587174277
527,fengrun,62.01,0.98,78,26,39.83,118.12,CN,1587174277
528,krasnoselkup,35.85,17.87,100,98,65.7,82.47,RU,1587174278
529,beidao,58.98,3.58,100,33,34.57,105.89,CN,1587174278
530,mashhad,48.2,4.7,37,93,36.3,59.61,IR,1587174278
531,paamiut,26.26,10.94,100,93,61.99,-49.67,GL,1587174278
532,winchester,46.0,9.17,96,87,51.07,-1.32,GB,1587174279
533,nanchong,60.44,11.05,100,74,30.8,106.08,CN,1587174279
534,dunmanway,50.0,10.29,90,100,51.72,-9.12,IE,1587174279
535,zunyi,68.36,3.15,90,62,27.69,106.91,CN,1587174279
536,riyadh,66.2,6.93,5,68,24.69,46.72,SA,1587174281
537,tahoua,79.86,9.44,0,12,14.89,5.27,NE,1587174282
538,north platte,48.2,10.29,1,42,41.12,-100.77,US,1587174282
539,doka,73.17,6.93,18,14,13.52,35.77,SD,1587174277
540,homer,53.6,3.96,90,66,59.64,-151.55,US,1587174075
541,mitsamiouli,83.82,11.34,0,70,-11.38,43.28,KM,1587174283
542,birjand,50.0,6.93,37,66,32.87,59.22,IR,1587174283
543,lodwar,83.44,13.35,100,50,3.12,35.6,KE,1587174283
544,biloela,87.62,8.21,94,31,-24.42,150.5,AU,1587174283
545,borba,72.77,2.17,73,96,-4.39,-59.59,BR,1587174284
546,lagoa,60.37,11.7,58,72,39.05,-27.98,PT,1587174284
547,kurud,96.08,13.18,0,21,20.83,81.72,IN,1587174284
548,kailua,84.2,11.41,20,48,21.4,-157.74,US,1587174285
549,viedma,73.76,19.8,51,39,-40.81,-63.0,AR,1587174285
550,axim,80.69,9.06,100,86,4.87,-2.24,GH,1587174285
